交易日期,股票代码,股票名称,池类型,市场类型,当前价,涨跌幅%,连板天数,涨停标签,涨停状态,首次涨停时间,最后涨停时间,炸板时间,炸板次数,封单金额,封单量,换手率%,成交额,流通市值,涨停原因,所属行业
2026-04-07,600110.SH,诺德股份,涨停池,HS,9.63,10.0571,1,首板,换手板,09:41:33,14:54:57,,4,76604724.0,7954800.0,20.4776,3363554700.0,16709792000.0,固态电池铜箔+HVLP铜箔+高端锂电铜箔,股权转让(并购重组)
2026-04-07,605299.SH,舒华体育,涨停池,HS,23.06,10.0191,1,首板,换手板,13:53:44,14:54:26,,21,4985572.0,216200.0,16.9512,1494872500.0,9436763600.0,足球概念+体育产业+健身器材+外销,人工智能
2026-04-07,603988.SH,中电电机,涨停池,HS,27.02,10.0163,1,首板,换手板,10:07:20,14:53:59,,4,6552350.0,242500.0,8.7893,548254000.0,6355104000.0,电机+风光电储+黄金,股权转让(并购重组)
2026-04-07,605018.SH,长华集团,涨停池,HS,11.99,10.0,1,首板,换手板,13:56:12,14:53:03,,9,1137851.0,94900.0,4.9484,272107540.0,5636088900.0,人形机器人+行星丝杠+飞行汽车,比亚迪概念
2026-04-07,002650.SZ,ST加加,涨停池,ST,7.23,4.9347,1,首板,换手板,10:16:24,14:52:09,,6,1636872.0,226400.0,1.5052,119478133.0,8003944900.0,减盐酱油+ST摘帽预期+无实控人,
2026-04-07,600791.SH,京能置业,涨停池,HS,11.79,9.9813,1,首板,换手板,09:45:10,14:49:07,,27,3451227.8,292725.0,8.7111,458398810.0,5332778500.0,地产+京津冀+北京国资,京津冀一体化
2026-04-07,002713.SZ,*ST东易,涨停池,ST,12.68,4.9669,9,9天4板,换手板,14:49:00,14:49:00,,0,26499780.0,2089888.0,4.9774,324427850.0,6676030500.0,算力中心+家装AI+重整完成,人工智能
2026-04-07,600063.SH,皖维高新,涨停池,HS,7.19,9.9388,1,首板,换手板,10:34:42,14:47:18,,25,4765208.5,662755.0,5.7577,841497110.0,14876875000.0,PVA光学膜+PVA纤维+定增募资+国企改革,光伏概念
2026-04-07,600195.SH,中牧股份,涨停池,HS,8.64,10.0637,1,首板,换手板,10:17:57,14:42:03,,22,6027549.1,697633.0,9.4015,816737890.0,8822721000.0,养殖业+动物保健品+央企,乡村振兴
2026-04-07,603348.SH,文灿股份,涨停池,HS,21.47,9.9898,1,首板,换手板,13:06:24,14:38:27,,4,20457518.0,952842.0,5.7304,379285120.0,6751825300.0,一体化压铸+特斯拉+两轮车,比亚迪概念
2026-04-07,600259.SH,中稀有色,涨停池,HS,86.96,10.0063,1,首板,换手板,14:00:42,14:38:21,,1,36883823.0,424147.0,5.6178,1573142300.0,29256467000.0,稀土涨价+扭亏为盈+央企,粤港澳大湾区
2026-04-07,603353.SH,和顺石油,涨停池,HS,40.47,10.0027,3,3天2板,换手板,13:56:18,14:33:27,,17,3460185.0,85500.0,9.3817,613081600.0,6896816500.0,成品油+拟控股奎芯+芯片概念,华为概念
2026-04-07,600075.SH,新疆天业,涨停池,HS,6.8,10.0324,1,首板,换手板,14:31:28,14:31:28,,0,53058455.0,7802714.0,3.9466,440313040.0,11613009800.0,PVC涨价+烧碱涨价+兵团国资,回购增持再贷款概念
2026-04-07,002092.SZ,中泰化学,涨停池,HS,6.95,9.9684,1,首板,换手板,14:30:21,14:30:21,,0,57571715.0,8283700.0,4.2427,736791160.0,17900041000.0,氯碱化工+甲醇投产+PVC涨价+新疆国资,碳中和
2026-04-07,002274.SZ,华昌化工,涨停池,HS,6.5,9.9831,1,首板,换手板,14:29:42,14:29:42,,0,84135721.0,12943957.0,4.8432,287751080.0,6096019300.0,煤化工+氢能源,氢能源
2026-04-07,600743.SH,华远控股,涨停池,HS,1.99,9.9448,1,首板,换手板,13:44:14,14:24:50,,4,3523752.7,1770730.0,2.3125,105439349.0,4668740700.0,物业+轻资产转型+国企,股权转让(并购重组)
2026-04-07,002789.SZ,*ST建艺,涨停池,ST,11.73,5.0134,1,首板,换手板,14:20:33,14:20:33,,0,4831821.6,411920.0,1.865,33707663.0,1835347300.0,珠海国资+储能+建筑装饰,粤港澳大湾区
2026-04-07,002840.SZ,华统股份,涨停池,HS,12.94,10.034,1,首板,换手板,10:25:09,14:19:27,,17,32542806.0,2514900.0,11.021,1112475670.0,10308397700.0,猪肉+绿色电力,碳中和
2026-04-07,688345.SH,博力威,涨停池,STAR,51.6,20.0,1,首板,换手板,13:44:08,14:14:44,,16,11598493.2,224777.0,8.7475,426140620.0,5160000000.0,固态电池+两轮换电+业绩扭亏,固态电池
2026-04-07,600623.SH,华谊集团,涨停池,HS,9.78,10.0112,1,首板,换手板,14:12:37,14:12:37,,0,75764936.0,7746926.0,1.9758,351250230.0,18347620000.0,绿色甲醇+氟化工+上海国资,回购增持再贷款概念
2026-04-07,002631.SZ,德尔未来,涨停池,HS,6.83,9.9839,1,首板,换手板,10:16:42,14:12:12,,1,7029436.0,1029200.0,3.3686,178667860.0,5420099200.0,石墨烯+柔性屏+家居,
2026-04-07,600250.SH,南京商旅,涨停池,HS,13.61,10.0243,1,首板,换手板,13:55:14,14:09:20,,6,32525178.0,2389800.0,18.9455,772543750.0,4257091000.0,南京国资+旅游+IP经济+商贸,
2026-04-07,600664.SH,哈药股份,涨停池,HS,3.87,9.9432,1,首板,换手板,11:05:40,13:58:35,,5,25327215.0,6544500.0,9.6359,919944520.0,9746633200.0,创新药+保健品+仿制药一致性评价,
2026-04-07,002037.SZ,保利联合,涨停池,HS,8.49,9.9741,1,首板,换手板,10:19:48,13:58:15,,13,8338878.0,982200.0,4.6867,189255310.0,4108171500.0,民爆+资产注入+央企,化学制品
2026-04-07,601133.SH,柏诚股份,涨停池,HS,21.43,10.0103,4,4天2板,换手板,10:01:09,13:57:00,,11,13162306.0,614200.0,28.7842,903826640.0,3201357900.0,半导体洁净室+存储芯片+海外扩张,芯片概念
2026-04-07,300165.SZ,天瑞仪器,涨停池,GEM,5.41,19.9557,1,首板,换手板,10:47:12,13:50:09,,2,9972253.0,1843300.0,15.921,348851170.0,2275092600.0,锂电池+半导体+摘帽,华为概念
2026-04-07,603188.SH,亚邦股份,涨停池,HS,5.13,10.0858,1,首板,换手板,13:48:34,13:48:34,,0,33193152.0,6470400.0,4.1009,116086967.0,2924972100.0,染料+资产处置+国企,化学制品
2026-04-07,002051.SZ,中工国际,涨停池,HS,10.48,9.9685,3,3天2板,换手板,09:31:18,13:43:21,,51,16798015.0,1602864.0,11.9579,1535094900.0,12967299300.0,中东重建+一带一路+算力+央企,乡村振兴
