日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,首次开板时间,最后开板时间,开板次数,封单额,流通市值,涨停原因,所属行业
2026-04-14,涨停池,603002.SH,宏昌电子,12.86,,5.1831,1,13:27:40,09:36:34,,,0,442734670.0,14584250000.0,先进封装+英伟达链+环氧树脂+覆铜板,未知
2026-04-14,涨停池,601778.SH,晶科科技,6.03,,15.0938,1,13:27:03,10:26:51,,,0,229747630.0,21542716000.0,回购股份注销+算电协同+储能,未知
2026-04-14,涨停池,002463.SZ,沪电股份,97.54,,3.8926,1,13:26:03,09:50:03,,,0,737993100.0,187550930000.0,一季度业绩预增+AI服务器PCB+68亿扩产,未知
2026-04-14,涨停池,600469.SH,风神股份,7.25,,3.989,1,13:14:07,13:14:07,,,0,218060060.0,5288518800.0,巨型工程子午胎+央企+工程机械配套,未知
2026-04-14,涨停池,600539.SH,狮头股份,15.95,,10.8858,1,13:11:14,13:11:14,,,0,201765910.0,3668500000.0,电商服务+锂电订单+机器视觉+并购重组,未知
2026-04-14,涨停池,002149.SZ,西部材料,50.0,,12.8097,1,13:08:39,13:07:57,,,0,697655000.0,24406964000.0,商业航天+可控核聚变+稀有金属+国企,未知
2026-04-14,涨停池,605167.SH,利柏特,19.64,,1.7131,1,13:06:08,13:06:08,,,0,217605310.0,8820310300.0,核电模块+海工模块+工业模块,未知
2026-04-14,涨停池,002157.SZ,正邦科技,3.49,,6.9674,1,13:03:36,10:39:30,,,0,133992554.0,25247547000.0,生猪养殖+量价齐升+双胞胎协同,未知
2026-04-14,涨停池,603061.SH,金海通,338.14,,3.9023,1,11:21:50,11:21:50,,,0,127580222.0,20288400000.0,先进封装+封测设备+年报增长,未知
2026-04-14,涨停池,600855.SH,航天长峰,19.23,,7.775,1,11:17:32,11:17:32,,,0,212998980.0,8992712000.0,航天+军工电子+央企,未知
2026-04-14,涨停池,600173.SH,卧龙新能,7.95,,4.5185,1,11:14:10,11:14:10,,,0,183940900.0,5568309100.0,风光储氢+储能中标+氢能出海,未知
2026-04-14,涨停池,603269.SH,海鸥股份,16.01,,8.0624,1,11:11:45,11:11:45,,,0,107668083.0,4943115800.0,液冷服务器+核电冷却塔+回购+制造业单项冠军,未知
2026-04-14,涨停池,000711.SZ,ST京蓝,3.59,,4.9796,1,11:11:03,10:25:18,,,0,23873500.0,8550230200.0,铟靶材+固危废资源化+ST炒作,未知
2026-04-14,涨停池,000929.SZ,*ST兰黄,10.43,,3.6901,1,10:58:00,09:38:27,,,0,6382117.0,1937416500.0,申请撤销退市风险警示+啤酒饮料+果汁扩产+扭亏预期,未知
2026-04-14,涨停池,001270.SZ,*ST铖昌,135.59,,2.124,1,10:46:03,09:41:27,,,0,84025123.0,27592505000.0,T/R芯片+商业航天+扭亏为盈+摘帽预期,未知
2026-04-14,涨停池,301189.SZ,奥尼电子,71.99,,10.413,1,10:42:57,10:35:09,,,0,108555953.0,8045449300.0,AI服务器+英伟达概念+沐曦合作,未知
2026-04-14,涨停池,002686.SZ,亿利达,7.58,,6.9683,1,10:40:42,09:44:03,,,0,143544730.0,3962313200.0,数据中心冷却+控制权变更+浙江国资,未知
2026-04-14,涨停池,001299.SZ,美能能源,18.54,,9.3325,1,10:37:42,09:33:42,,,0,213082440.0,4049134500.0,燃气+综合能源转型+年报增长+西部大开发,未知
2026-04-14,涨停池,002328.SZ,新朋股份,11.84,,28.832,1,10:32:30,10:20:36,,,0,138027170.0,6758176000.0,液冷服务器+储能+汽车零部件+回购,未知
2026-04-14,涨停池,603383.SH,顶点软件,31.94,,4.6479,1,10:30:33,10:30:33,,,0,271966100.0,6559720900.0,金融科技+AI应用+信创,未知
2026-04-14,涨停池,002305.SZ,*ST南置,2.33,,2.0631,1,10:24:54,10:23:42,,,0,18149535.0,4040460600.0,商业地产+央企重组+净资产转正,未知
2026-04-14,涨停池,600243.SH,*ST海华,3.59,,2.6502,1,10:14:47,09:34:02,,,0,2274983.0,1575471500.0,退市博弈+减速器+电梯配件,未知
2026-04-14,涨停池,603527.SH,众源新材,11.9,,7.2905,1,10:06:54,10:06:54,,,0,110137106.0,3771957300.0,固态电池+铜箔+新能源结构件+3D打印,未知
2026-04-14,涨停池,002647.SZ,仁东控股,10.41,,5.558,1,10:01:48,09:33:39,,,0,90349441.0,10569186100.0,摘帽+AI算力+第三方支付,未知
2026-04-14,涨停池,688287.SH,*ST观典,1.63,,6.2013,1,09:59:21,09:59:21,,,0,12444204.0,603940430.0,军工装备+商业航天+无人机禁毒,未知
2026-04-14,涨停池,603629.SH,利通电子,79.95,,12.2648,1,09:56:46,09:50:01,,,0,268894240.0,20535317000.0,算力租赁+液冷+英伟达合作+年报预增,未知
2026-04-14,涨停池,601588.SH,北辰实业,2.07,,5.7692,1,09:52:56,09:34:41,,,0,51536105.0,5506200000.0,控股股东增持+房地产+会展+北京国资,未知
2026-04-14,涨停池,002124.SZ,天邦食品,2.85,,9.7615,1,09:51:24,09:51:24,,,0,91837787.0,5621210700.0,猪肉+预重整+销量增长,未知
2026-04-14,涨停池,603171.SH,税友股份,54.78,,1.5087,1,09:51:14,09:51:14,,,0,207519350.0,22234654000.0,财税SaaS+AI智能体,未知
2026-04-14,涨停池,600396.SH,华电辽能,8.03,,12.5858,1,09:49:17,09:34:20,,,0,129245508.0,11825835700.0,火电+氢能+央企,未知
2026-04-14,涨停池,002107.SZ,沃华医药,7.83,,9.913,1,09:47:03,09:39:15,,,0,188745440.0,4474015100.0,心脑血管中药+独家产品线+业绩大增,未知
2026-04-14,涨停池,688813.SH,泰金新能,69.12,,27.7106,1,09:46:56,09:41:14,,,0,58704100.0,2078920600.0,PCB+铜箔+陕西国资+次新股,未知
