日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-06-04,涨停池,688146.SH,中船特气,219.19,19.9989,10.7379,1,10:06:18,09:53:09,3,18608793.0,31776159000.0,未知
2026-06-04,涨停池,688303.SH,大全能源,22.46,19.9786,1.8974,1,10:06:17,10:03:47,3,1539318.6,48181321000.0,未知
2026-06-04,涨停池,002971.SZ,和远气体,37.39,10.0029,8.4565,1,10:05:30,10:05:30,,546749110.0,5847846500.0,未知
2026-06-04,涨停池,000700.SZ,模塑科技,18.24,10.0121,10.8055,3,10:03:30,10:02:06,2,294189310.0,16744601000.0,未知
2026-06-04,涨停池,003036.SZ,泰坦股份,74.86,10.0073,4.6121,1,10:03:12,09:55:09,1,255534090.0,16191154000.0,未知
2026-06-04,涨停池,300726.SZ,宏达电子,79.92,20.0,10.8172,1,10:01:54,10:01:54,,931205780.0,17137919000.0,未知
2026-06-04,涨停池,600246.SH,万通发展,18.87,10.0292,7.5659,1,10:01:16,09:57:43,1,543708590.0,35672083000.0,未知
2026-06-04,涨停池,603610.SH,麒盛科技,19.32,10.0228,3.5208,1,09:57:56,09:50:34,1,200145540.0,6819798100.0,未知
2026-06-04,涨停池,000670.SZ,盈方微,9.67,10.0114,10.5428,1,09:54:09,09:54:09,,748075070.0,7947413800.0,存储芯片+长江存储代理+重大资产重组
2026-06-04,涨停池,603920.SH,世运电路,62.69,10.0018,4.4892,1,09:54:08,09:49:05,1,657618100.0,45173932000.0,人形机器人+AI PCB+CPO
2026-06-04,涨停池,002630.SZ,*ST华西,1.85,5.1136,5.0892,3,09:53:33,09:49:45,1,11843182.0,1991596800.0,新能源+*ST摘帽+环保锅炉
2026-06-04,涨停池,600703.SH,三安光电,17.06,9.9936,4.9846,1,09:53:30,09:53:30,,2585843600.0,85112659000.0,光芯片+碳化硅+CPO+金刚石散热
2026-06-04,涨停池,003011.SZ,海象新材,22.7,9.9806,4.3356,1,09:52:51,09:52:51,,143990640.0,1744383900.0,PVC地板出口+年报增长+回购
2026-06-04,涨停池,603516.SH,淳中科技,126.39,10.0,4.299,1,09:48:08,09:44:44,1,427274030.0,25691078000.0,芯片概念+一季报扭亏+自研芯片
2026-06-04,涨停池,600667.SH,太极实业,16.36,10.0202,8.5243,3,09:45:34,09:45:34,,647014430.0,34217630000.0,存储芯片+SK海力士+先进封装+无锡国资
2026-06-04,涨停池,600255.SH,鑫科材料,4.83,10.0228,29.9479,3,09:45:25,09:30:58,2,174908790.0,8723689800.0,高速铜连接+铜合金板带+一季报增长+国资
2026-06-04,涨停池,600439.SH,瑞贝卡,2.88,9.9237,8.0212,2,09:42:13,09:30:55,2,79680303.0,3260118100.0,发制品+跨境电商+人形机器人
2026-06-04,涨停池,000718.SZ,苏宁环球,2.23,9.8522,2.1447,1,09:42:09,09:42:09,,209916080.0,5088480400.0,地产复苏+医美增长+低负债率
2026-06-04,涨停池,600353.SH,旭光电子,26.44,9.9834,5.4881,1,09:41:48,09:39:03,2,454863710.0,21913767000.0,氮化铝+韩国客户+真空灭弧室+可控核聚变
2026-06-04,涨停池,002213.SZ,大为股份,38.59,10.0057,6.5984,1,09:41:27,09:41:27,,771450410.0,7974083600.0,半导体存储+一季度扭亏+锂矿审批+AI存储
2026-06-04,涨停池,600868.SH,梅雁吉祥,3.78,9.8837,9.462,1,09:41:26,09:39:05,2,5108670.0,7175002000.0,锑银矿+水电+一季报营收增长
2026-06-04,涨停池,600491.SH,ST龙元,1.44,5.1095,1.8523,6,09:40:46,09:40:46,,22724063.0,2202851500.0,城市更新+零碳园区+绿色建筑
2026-06-04,涨停池,603330.SH,天洋新材,9.41,10.0585,14.7231,4,09:40:43,09:40:43,,109058117.0,4071459000.0,光模块透镜固定用胶+电子胶+半导体
2026-06-04,涨停池,002806.SZ,华锋股份,20.68,10.0,13.7487,6,09:38:00,09:38:00,,389090040.0,3600493200.0,超级电容用材料+铝箔材+SiC控制器+实控人变更
2026-06-04,涨停池,002590.SZ,万安科技,12.44,9.9912,2.9335,1,09:38:00,09:38:00,,398139710.0,6157263400.0,机器人+智能驾驶+底盘系统
2026-06-04,涨停池,605162.SH,新中港,12.71,10.0433,6.9624,2,09:37:25,09:34:58,2,114031235.0,5628576600.0,可转债赎回完成+弗迪电池供热+热电联产
2026-06-04,涨停池,603135.SH,中重科技,12.75,10.0086,2.0475,2,09:36:28,09:34:28,1,79590090.0,8026610500.0,机器人+出海+新增订单+到期赎回
2026-06-04,涨停池,000536.SZ,华映科技,4.13,10.1333,3.3507,1,09:35:54,09:33:39,1,667488580.0,11411530800.0,车载显示+被动减持处置+福建国资
2026-06-04,涨停池,605398.SH,新炬网络,25.39,10.0087,2.9876,4,09:35:26,09:30:59,1,83719970.0,4131368900.0,AI智能运维+AIGC短剧+数字员工
2026-06-04,涨停池,600828.SH,茂业商业,4.95,10.0,1.3908,1,09:34:30,09:34:30,,109762745.0,8570232900.0,商业不动产REITs+百货零售+商管转型
2026-06-04,涨停池,001376.SZ,百通能源,14.38,10.023,7.2695,1,09:33:36,09:33:36,,262458010.0,3077917700.0,定增过会+热电联产+安哥拉电解铝
2026-06-04,涨停池,000608.SZ,阳光股份,5.1,9.9138,2.3021,1,09:32:39,09:32:39,,91049576.0,3801680600.0,摘帽+收购股权+商业运营
2026-06-04,涨停池,603681.SH,永冠新材,28.72,9.9962,7.609,1,09:32:31,09:25:04,1,133802057.0,6827945400.0,定增募资+电子级玻璃纤维布+车规胶膜
2026-06-04,涨停池,002585.SZ,双星新材,11.8,9.972,6.8164,1,09:32:18,09:32:18,,819136440.0,10463729500.0,MLCC产能扩张+复合铜箔量产+扭亏为盈
2026-06-04,涨停池,600688.SH,上海石化,3.38,10.0977,2.1625,2,09:31:49,09:25:04,1,185403510.0,24771390000.0,T1000级碳纤维+石油化工+央企
2026-06-04,涨停池,300716.SZ,*ST泉为,17.4,20.0,2.8619,1,09:31:27,09:31:27,,58888560.0,2784348000.0,预重整受理+异质结光伏+管理人指定
2026-06-04,涨停池,001896.SZ,豫能控股,22.09,10.01,5.0301,2,09:31:24,09:31:24,,406698310.0,33704510000.0,参股算力+火电+河南国资
2026-06-04,涨停池,603500.SH,祥和实业,11.12,9.9901,3.5561,1,09:30:01,09:30:01,,239517810.0,3698612800.0,超级电容+产能扩张+轨交扣件
2026-06-04,涨停池,600403.SH,大有能源,7.4,9.9554,0.9033,4,09:25:01,09:25:01,,152458080.0,17692012000.0,煤炭+河南国资重组+国企改革
2026-06-04,涨停池,300897.SZ,山科智能,22.38,20.0,4.6206,1,09:25:00,09:25:00,,162760830.0,2736091100.0,股权转让+智慧水务+AI应用
2026-06-04,涨停池,002717.SZ,*ST岭南,1.06,4.9505,0.2224,3,09:25:00,09:25:00,,89174938.0,1821667200.0,罚单落地+生态文旅+国企
