日期,池类型,股票代码,股票名称,现价,涨跌幅%,换手率%,连板天数,最后封板时间,首次封板时间,开板次数,封单额,流通市值,涨停原因
2026-04-22,涨停池,000990.SZ,诚志股份,11.94,10.0461,11.9111,1,14:56:09,10:51:21,32,15372750.0,14509925000.0,煤制烯烃+一季报增长+青岛国资
2026-04-22,涨停池,600869.SH,远东股份,17.18,9.9872,9.4144,1,14:56:07,13:23:43,25,1408760.0,38128480000.0,一季报增长+定增+光纤+算力AI
2026-04-22,涨停池,603637.SH,镇海股份,16.8,10.0196,11.6631,1,14:52:19,13:42:55,24,3363931.2,4009922700.0,石化工程+氢能源+控制权拟变更+地方国企
2026-04-22,涨停池,002432.SZ,九安医疗,88.09,10.0025,8.4253,1,14:49:15,14:49:15,,102813627.0,38619507000.0,AI医疗+AI投资+四联检获批
2026-04-22,涨停池,601512.SH,中新集团,10.32,10.0213,2.1699,1,14:35:20,14:35:20,,18687353.0,15468545000.0,苏州+机器人+绿色电力+年报增长
2026-04-22,涨停池,600815.SH,厦工股份,4.52,9.9757,14.968,1,14:31:23,09:33:41,53,11862107.2,8018907000.0,工程装备+雅鲁藏布江水电+厦门国资
2026-04-22,涨停池,002201.SZ,九鼎新材,15.32,9.9785,29.914,2,14:24:48,09:32:24,4,58419756.0,9222994700.0,年报增长+商业航天+玻璃纤维+风电叶片
2026-04-22,涨停池,001270.SZ,*ST铖昌,154.35,5.0,3.7446,11,14:23:51,14:23:51,,82623555.0,31410157000.0,摘帽+T/R芯片+商业航天
2026-04-22,涨停池,002938.SZ,鹏鼎控股,76.18,10.0072,2.1043,1,14:12:09,14:09:15,2,120958299.0,175932620000.0,PCB龙头+淮安HD园区动工+AI服务器+人形机器人
2026-04-22,涨停池,603906.SH,龙蟠科技,28.62,9.9923,17.7337,1,14:11:48,14:11:48,,70670822.0,16172558000.0,锂矿入股+磷酸铁锂+业绩预增
2026-04-22,涨停池,002588.SZ,史丹利,11.68,9.9812,4.8133,1,14:06:18,09:32:00,2,17382176.0,10028875100.0,业绩增长+复合肥龙头+磷酸铁
2026-04-22,涨停池,001234.SZ,泰慕士,29.56,10.0112,7.4248,1,13:56:45,13:54:03,1,254857450.0,2704311400.0,服装贴牌+回购注销+广州国资入主
2026-04-22,涨停池,000811.SZ,冰轮环境,22.41,10.0147,7.436,1,13:46:36,10:26:30,3,34472855.0,21925847000.0,液冷+核电+氦气压缩机
2026-04-22,涨停池,002005.SZ,ST德豪,2.93,5.0179,1.1459,1,13:40:42,13:22:21,1,4854131.0,5133340000.0,ST摘帽预期+LED封装+小家电出口+扭亏预增
2026-04-22,涨停池,600126.SH,杭钢股份,10.26,9.9678,8.827,1,13:33:41,13:26:29,1,70320398.0,34649960000.0,算力租赁+钢铁智造+扭亏+浙江国资
2026-04-22,涨停池,688048.SH,长光华芯,372.91,19.9994,12.5094,1,13:30:23,09:50:26,7,111567587.0,65736554000.0,光通信芯片+激光雷达+扭亏为盈
2026-04-22,涨停池,002636.SZ,金安国纪,46.07,10.0048,6.0623,1,13:23:06,13:23:06,,93442215.0,33369211000.0,覆铜板涨价+高频高速CCL+定增扩产
2026-04-22,涨停池,000062.SZ,深圳华强,32.64,10.0101,6.9569,1,13:21:21,13:21:21,,116288813.0,34105539000.0,分销龙头+存储芯片+华为昇腾+一季报预增
2026-04-22,涨停池,600487.SH,亨通光电,65.78,10.0,8.3305,1,13:18:22,10:21:19,22,84210043.0,160844010000.0,光纤涨价+海底电缆+CPO
2026-04-22,涨停池,002256.SZ,兆新股份,4.51,10.0,13.1183,1,13:17:18,13:17:18,,91577805.0,8803392800.0,盐湖提锂+光伏+精细化工+一季报增长
2026-04-22,涨停池,603318.SH,水发燃气,9.41,10.0585,21.0128,3,13:09:43,09:52:34,7,17340748.0,4319857400.0,燃气轮机掺氢+天然气+氢能应用+山东国资
2026-04-22,涨停池,002384.SZ,东山精密,186.34,10.0,6.0042,1,13:07:24,11:28:03,1,693081190.0,258327190000.0,光模块+AI PCB+年报增长
2026-04-22,涨停池,600641.SH,先导基电,27.06,10.0,5.144,4,13:03:09,13:00:33,1,138884990.0,25182846000.0,离子注入机+半导体设备+铋材料+股权激励
2026-04-22,涨停池,002796.SZ,世嘉科技,61.39,9.9982,10.935,4,11:28:39,11:07:57,1,44360414.0,13979007000.0,光模块+6G概念+精密箱体
2026-04-22,涨停池,002418.SZ,康盛股份,6.74,9.9511,29.6014,4,11:19:24,11:19:24,,171070990.0,7659318100.0,液冷算力+家电制冷+扭亏预增
2026-04-22,涨停池,002443.SZ,金洲管道,10.48,9.9685,7.4552,1,11:17:45,11:17:45,,49732431.0,5443590500.0,焊接钢管+氢能管道+智能机器人+一季报预增
2026-04-22,涨停池,605588.SH,冠石科技,62.7,10.0,3.6273,1,11:04:49,11:04:49,,76807563.0,4583342500.0,光掩膜版+半导体产业链+显示器件
2026-04-22,涨停池,002428.SZ,云南锗业,75.24,10.0,10.9423,4,11:02:06,11:02:06,,117259734.0,49134400000.0,磷化铟扩产+光纤级锗+商业航天
2026-04-22,涨停池,000711.SZ,ST京蓝,4.21,4.9875,4.1475,7,10:58:27,10:58:27,,34802108.0,10026871600.0,铟靶材+固危废资源化+ST炒作
